width	depth	height	tilt	instances
60	45	90	TRUE	4
60	45	90	TRUE	1
60	55	90	TRUE	1
225	155	90	TRUE	1
42	50	90	TRUE	1
60	45	90	TRUE	1
42	50	90	TRUE	1
65	45	90	TRUE	1
60	45	90	TRUE	1
120	120	130	TRUE	1
120	115	115	TRUE	1
120	120	110	TRUE	1
75	75	5	TRUE	1
30	30	105	TRUE	1
30	30	110	TRUE	1
40	40	130	TRUE	1
25	25	125	TRUE	1
30	30	130	TRUE	1
15	15	125	TRUE	1
20	20	95	TRUE	1
20	20	95	TRUE	1
20	20	64	TRUE	1
25	25	125	TRUE	1
15	50	280	TRUE	1
300	180	100	TRUE	1
40	100	230	TRUE	1
200	150	30	TRUE	1
60	50	25	TRUE	1
200	150	30	TRUE	1
165	180	445	TRUE	2
215	225	280	TRUE	1
115	115	20	TRUE	10
90	30	70	TRUE	2
90	30	70	TRUE	2
90	30	70	TRUE	2
315	28	28	TRUE	2
320	30	30	TRUE	2
60	3	1	TRUE	10
7	7	25	TRUE	10
70	45	15	TRUE	10
70	45	15	TRUE	10
70	45	15	TRUE	10
70	45	15	TRUE	10
70	40	15	TRUE	5
70	45	15	TRUE	5
115	30	10	TRUE	3
110	6	6	TRUE	3
70	40	15	TRUE	5
70	30	15	TRUE	5
30	8	8	TRUE	5
70	40	15	TRUE	5
30	70	15	TRUE	5
70	40	15	TRUE	5
70	30	15	TRUE	5
70	40	15	TRUE	5
70	20	40	TRUE	10
50	3	8	TRUE	10
25	6	6	TRUE	10
50	40	8	TRUE	5
70	40	15	TRUE	5
7	7	50	TRUE	5
7	7	50	TRUE	5
115	3	115	TRUE	10
115	10	115	TRUE	10
125	3	125	TRUE	10
125	125	4	TRUE	10
230	230	4	TRUE	25
115	5	115	TRUE	10
80	5	80	TRUE	10
115	5	115	TRUE	10
115	5	115	TRUE	10
115	5	115	TRUE	10
230	2	230	TRUE	25
115	10	115	TRUE	10
125	8	125	TRUE	10
115	115	2	TRUE	10
230	9	230	TRUE	10
115	12	115	TRUE	10
35	20	58	TRUE	3
20	41	62	TRUE	3
50	50	50	TRUE	3
140	145	60	TRUE	5
50	23	23	TRUE	3
40	15	15	TRUE	3
60	60	20	TRUE	3
110	110	25	TRUE	2
35	23	23	TRUE	1
36	23	23	TRUE	2
40	25	25	TRUE	1
36	23	23	TRUE	1
36	23	23	TRUE	3
40	25	25	TRUE	2
36	25	25	TRUE	3
36	26	26	TRUE	1
40	30	30	TRUE	3
40	32	30	TRUE	2
40	33	30	TRUE	2
40	35	35	TRUE	1
225	38	85	TRUE	3
255	80	40	TRUE	3
25	15	15	TRUE	2
22	9	9	TRUE	2
22	13	13	TRUE	3
25	15	15	TRUE	3
22	18	18	TRUE	2
22	19	19	TRUE	2
120	10	15	TRUE	3
140	20	15	TRUE	5
170	30	15	TRUE	4
190	30	20	TRUE	3
210	35	20	TRUE	5
230	45	20	TRUE	4
255	50	20	TRUE	3
280	50	8	TRUE	2
310	15	9	TRUE	2
190	60	20	TRUE	3
210	60	30	TRUE	3
160	25	15	TRUE	3
50	70	75	TRUE	6
50	90	90	TRUE	6
50	95	95	TRUE	6
250	55	25	TRUE	2
250	50	15	TRUE	3
310	70	25	TRUE	3
210	70	30	TRUE	3
260	70	20	TRUE	3
65	25	115	TRUE	3
130	80	30	TRUE	3
235	80	30	TRUE	2
260	75	35	TRUE	3
60	20	120	TRUE	3
135	60	40	TRUE	3
225	85	20	TRUE	3
160	55	20	TRUE	5
50	50	65	TRUE	5
60	65	175	TRUE	5
20	20	32	TRUE	10
135	55	48	TRUE	10
60	50	20	TRUE	10
50	50	50	TRUE	5
30	70	65	TRUE	5
50	25	20	TRUE	10
100	70	40	TRUE	1
1	1	1	TRUE	2
35	35	50	TRUE	3
90	150	95	TRUE	3
70	70	65	TRUE	4
230	45	45	TRUE	12
70	35	35	TRUE	6
230	50	50	TRUE	4
60	60	215	TRUE	4
65	65	205	TRUE	6
225	50	50	TRUE	12
230	48	48	TRUE	12
225	50	50	TRUE	6
235	50	65	TRUE	12
50	50	150	TRUE	2
240	70	70	TRUE	6
55	55	210	TRUE	4
240	70	70	TRUE	6
65	65	240	TRUE	1
50	50	235	TRUE	48
50	50	235	TRUE	24
235	50	70	TRUE	24
50	50	235	TRUE	24
50	50	235	TRUE	6
235	50	50	TRUE	6
235	50	50	TRUE	12
70	70	285	TRUE	6
70	70	205	TRUE	6
65	65	240	TRUE	6
60	60	255	TRUE	6
70	70	240	TRUE	6
153	50	35	TRUE	6
220	220	180	TRUE	2
110	90	40	TRUE	2
110	20	20	TRUE	10
205	65	65	TRUE	6
225	40	60	TRUE	4
230	70	50	TRUE	6
275	85	85	TRUE	3
225	65	65	TRUE	4
65	65	225	TRUE	4
225	50	50	TRUE	12
70	70	225	TRUE	15
330	70	70	TRUE	36
330	65	65	TRUE	12
330	70	70	TRUE	12
225	70	70	TRUE	24
50	50	235	TRUE	12
235	50	70	TRUE	24
210	205	50	TRUE	24
235	50	70	TRUE	12
225	50	65	TRUE	4
235	50	70	TRUE	6
330	70	70	TRUE	12
250	66	80	TRUE	6
50	50	180	TRUE	12
265	80	80	TRUE	6
210	50	50	TRUE	30
150	60	215	TRUE	3
235	50	50	TRUE	6
230	50	65	TRUE	4
165	165	110	TRUE	2
100	95	70	TRUE	6
55	55	145	TRUE	12
235	70	50	TRUE	12
235	70	50	TRUE	48
235	70	50	TRUE	12
235	70	50	TRUE	6
230	48	48	TRUE	24
235	70	50	TRUE	12
235	70	50	TRUE	12
235	50	70	TRUE	12
235	50	70	TRUE	24
235	50	70	TRUE	6
230	48	48	TRUE	6
65	65	205	TRUE	4
70	70	240	TRUE	6
270	65	65	TRUE	4
65	65	165	TRUE	4
95	38	38	TRUE	6
30	30	50	TRUE	6
50	70	230	TRUE	6
70	70	205	TRUE	4
65	65	205	TRUE	4
70	70	205	TRUE	4
65	65	200	TRUE	4
70	70	205	TRUE	4
285	70	70	TRUE	4
65	65	205	TRUE	6
205	70	70	TRUE	6
65	65	218	TRUE	3
70	70	205	TRUE	4
70	70	205	TRUE	6
70	70	205	TRUE	3
60	60	155	TRUE	3
90	70	245	TRUE	3
70	90	245	TRUE	6
70	70	240	TRUE	4
85	85	275	TRUE	3
270	90	90	TRUE	3
240	70	70	TRUE	6
170	100	100	TRUE	3
190	55	55	TRUE	4
50	70	230	TRUE	4
50	70	230	TRUE	6
235	50	65	TRUE	4
50	70	230	TRUE	4
50	70	235	TRUE	6
35	35	170	TRUE	6
55	55	200	TRUE	4
235	55	45	TRUE	6
330	70	70	TRUE	12
230	70	70	TRUE	3
200	50	50	TRUE	3
65	65	200	TRUE	3
65	65	280	TRUE	2
65	65	280	TRUE	2
65	65	280	TRUE	2
70	70	200	TRUE	2
65	65	200	TRUE	3
70	70	200	TRUE	3
70	70	200	TRUE	2
65	65	200	TRUE	2
65	65	200	TRUE	2
200	70	70	TRUE	1
70	70	240	TRUE	6
70	70	240	TRUE	4
200	70	70	TRUE	6
117	55	25	TRUE	2
45	25	115	TRUE	6
150	110	110	TRUE	4
100	35	35	TRUE	5
60	60	180	TRUE	4
85	85	305	TRUE	6
305	85	85	TRUE	2
85	85	305	TRUE	6
55	55	145	TRUE	12
60	60	250	TRUE	4
130	55	60	TRUE	6
60	60	210	TRUE	3
130	130	310	TRUE	2
290	120	120	TRUE	2
135	125	125	TRUE	4
185	135	190	TRUE	1
280	210	50	TRUE	3
280	210	55	TRUE	3
280	210	60	TRUE	3
160	75	100	TRUE	3
115	90	255	TRUE	6
100	30	290	TRUE	6
240	125	75	TRUE	3
240	125	75	TRUE	3
415	270	240	TRUE	3
425	275	280	TRUE	4
415	280	274	TRUE	3
140	20	340	TRUE	2
415	120	75	TRUE	3
285	205	190	TRUE	2
135	190	380	TRUE	3
100	155	25	TRUE	1
65	85	225	TRUE	12
50	50	260	TRUE	12
90	60	210	TRUE	12
285	55	90	TRUE	12
375	190	185	TRUE	10
380	190	180	TRUE	5
120	50	80	TRUE	3
200	150	20	TRUE	5
118	47	47	TRUE	5
20	10	10	TRUE	5
130	75	75	TRUE	3
133	78	78	TRUE	3
135	70	70	TRUE	5
135	70	70	TRUE	5
80	80	25	TRUE	5
50	325	210	TRUE	4
215	325	50	TRUE	4
320	210	50	TRUE	2
310	205	50	TRUE	3
195	95	40	TRUE	6
195	95	40	TRUE	6
520	110	110	TRUE	6
125	125	50	TRUE	6
140	140	50	TRUE	6
200	75	75	TRUE	10
152	75	75	TRUE	20
75	75	200	TRUE	3
195	75	75	TRUE	3
200	80	80	TRUE	5
195	80	80	TRUE	3
75	75	200	TRUE	5
195	75	75	TRUE	3
160	55	55	TRUE	3
320	120	120	TRUE	2
310	120	120	TRUE	2
330	260	380	TRUE	2
305	120	120	TRUE	3
135	135	50	TRUE	6
310	120	120	TRUE	3
310	120	120	TRUE	3
310	120	120	TRUE	3
155	155	50	TRUE	6
80	25	445	TRUE	2
65	65	240	TRUE	4
105	65	230	TRUE	4
90	66	60	TRUE	3
383	190	160	TRUE	6
370	200	180	TRUE	5
380	205	190	TRUE	3
220	70	70	TRUE	12
50	50	263	TRUE	12
40	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
90	65	65	TRUE	2
42	50	90	TRUE	1
42	50	90	TRUE	3
40	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
45	65	90	TRUE	3
60	45	90	TRUE	3
60	65	90	TRUE	3
65	55	90	TRUE	2
42	50	90	TRUE	3
60	45	90	TRUE	3
65	45	90	TRUE	3
60	45	90	TRUE	2
60	55	90	TRUE	3
60	90	90	TRUE	3
75	90	90	TRUE	3
42	50	90	TRUE	3
40	50	90	TRUE	2
42	50	90	TRUE	3
42	50	90	TRUE	3
40	50	90	TRUE	3
60	45	90	TRUE	3
60	55	90	TRUE	3
75	90	90	TRUE	3
42	50	90	TRUE	3
45	65	90	TRUE	3
60	45	90	TRUE	3
60	45	90	TRUE	3
90	60	90	TRUE	3
200	90	90	TRUE	2
150	90	90	TRUE	2
200	90	90	TRUE	2
